"filename", "language", "Ignore", "JSON", "Properties", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "XML", "TypeScript JSX", "CSS", "HTML", "Docker", "comment", "blank", "total"
"d:\Kyle\Projects\bpit-das-v2\frontend\.dockerignore", "Ignore", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Kyle\Projects\bpit-das-v2\frontend\.env", "Properties", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Kyle\Projects\bpit-das-v2\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 8, 28
"d:\Kyle\Projects\bpit-das-v2\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
"d:\Kyle\Projects\bpit-das-v2\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\Kyle\Projects\bpit-das-v2\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\Kyle\Projects\bpit-das-v2\frontend\package-lock.json", "JSON", 0, 4348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4349
"d:\Kyle\Projects\bpit-das-v2\frontend\package.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\Kyle\Projects\bpit-das-v2\frontend\postcss.config.cjs", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Kyle\Projects\bpit-das-v2\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\analyzerDataApi.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\apiUrl.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\currentValuesApi.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\serialAnalyzersApi.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 13, 75
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\serialParametersApi.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\stationsApi.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\tcpAnalyzersApi.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\tcpParametersApi.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 11, 57
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\timebasesApi.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\userLogsApi.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\usersApi.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 19, 114
"d:\Kyle\Projects\bpit-das-v2\frontend\src\api\virtualChannelsApi.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"d:\Kyle\Projects\bpit-das-v2\frontend\src\app\app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"d:\Kyle\Projects\bpit-das-v2\frontend\src\app\layout\ConfigurationsLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 12, 84
"d:\Kyle\Projects\bpit-das-v2\frontend\src\app\layout\DefaultLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"d:\Kyle\Projects\bpit-das-v2\frontend\src\app\layout\GuestLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\Kyle\Projects\bpit-das-v2\frontend\src\app\router.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 2, 5, 92
