Date : 2025-03-31 23:28:06
Directory : d:\Kyle\Projects\bpit-das-v2\frontend
Total : 145 files,  11536 codes, 123 comments, 1180 blanks, all 12839 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         69 |      5,187 |        102 |        862 |      6,151 |
| JSON               |          4 |      4,441 |          4 |          8 |      4,453 |
| TypeScript         |         46 |      1,405 |          9 |        219 |      1,633 |
| CSS                |         17 |        392 |          0 |         68 |        460 |
| Markdown           |          1 |         40 |          0 |         11 |         51 |
| JavaScript         |          2 |         34 |          0 |          2 |         36 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Docker             |          1 |         12 |          8 |          8 |         28 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| Ignore             |          1 |          2 |          0 |          0 |          2 |
| Properties         |          1 |          2 |          0 |          0 |          2 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                           |        145 |     11,536 |        123 |      1,180 |     12,839 |
| . (Files)                                                                                                                                                   |         14 |      4,569 |         13 |         34 |      4,616 |
| public                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                                                         |        130 |      6,966 |        110 |      1,146 |      8,222 |
| src\api                                                                                                                                                     |         12 |        514 |          1 |        101 |        616 |
| src\app                                                                                                                                                     |          6 |        273 |          2 |         38 |        313 |
| src\app (Files)                                                                                                                                             |          3 |        148 |          2 |         17 |        167 |
| src\app\layout                                                                                                                                              |          3 |        125 |          0 |         21 |        146 |
| src\components                                                                                                                                              |          9 |        423 |          3 |         71 |        497 |
| src\components\footer                                                                                                                                       |          1 |         10 |          0 |          2 |         12 |
| src\components\header                                                                                                                                       |          2 |        148 |          2 |         26 |        176 |
| src\components\login                                                                                                                                        |          4 |        174 |          1 |         29 |        204 |
| src\components\login (Files)                                                                                                                                |          1 |         33 |          0 |          5 |         38 |
| src\components\login\components                                                                                                                             |          3 |        141 |          1 |         24 |        166 |
| src\components\login\components\dropdown-menu                                                                                                               |          2 |         77 |          0 |         14 |         91 |
| src\components\login\components\login-form                                                                                                                  |          1 |         64 |          1 |         10 |         75 |
| src\components\navbar                                                                                                                                       |          2 |         91 |          0 |         14 |        105 |
| src\contexts                                                                                                                                                |          1 |         41 |          8 |          9 |         58 |
| src\hooks                                                                                                                                                   |         12 |        494 |          2 |         61 |        557 |
| src\pages                                                                                                                                                   |         74 |      4,987 |         93 |        844 |      5,924 |
| src\pages\account                                                                                                                                           |         11 |        793 |         11 |        138 |        942 |
| src\pages\account\pages                                                                                                                                     |         11 |        793 |         11 |        138 |        942 |
| src\pages\account\pages (Files)                                                                                                                             |          1 |         13 |          0 |          4 |         17 |
| src\pages\account\pages\account-settings                                                                                                                    |          2 |        200 |          6 |         29 |        235 |
| src\pages\account\pages\user-dashboard                                                                                                                      |          8 |        580 |          5 |        105 |        690 |
